steps,avg_reward,success_rate,sps
8000000,15.40972344759386,0.02,1039
8100000,15.657238097556402,0.02,1041
8200000,16.24986849361565,0.0,1040
8300000,16.092249384417663,0.02,1042
8400000,15.943427565065212,0.0,1041
8500000,15.929959136017715,0.0,1043
8600000,16.272073101011046,0.0,1043
8700000,16.58593517823145,0.02,1044
8800000,16.494834209796974,0.02,1044
8900000,17.4721421523951,0.02,1046
9000000,16.831372263105294,0.0,1045
9100000,18.223616531337612,0.0,1047
9200000,17.43752012310084,0.0,1046
9300000,16.754682517987675,0.0,1048
9400000,16.742977694249713,0.02,1048
9500000,17.295341340336016,0.0,1050
9600000,17.78449225426186,0.02,1049
9700000,16.926864854737577,0.0,1049
9800000,17.66806263460312,0.0,1050
9900000,17.233389386651105,0.0,1050
10000000,17.149857539026996,0.0,1052
10100000,17.07563861394301,0.0,1051
10200000,16.583995558787137,0.0,1053
10300000,17.5190232839901,0.0,1052
10400000,16.655901680998504,0.0,1054
10500000,16.837345335669816,0.0,1053
10600000,16.858803357621653,0.02,1055
10700000,16.847969707548618,0.0,1055
10800000,16.698160742339677,0.0,1056
10900000,16.142959235874006,0.0,1056
11000000,17.211528589562512,0.04,1057
11100000,17.25318961219862,0.0,1057
11200000,16.107219915022142,0.0,1058
11300000,16.730986598543822,0.0,1058
11400000,17.213179561845028,0.0,1059
11500000,16.494873354872833,0.0,1059
11600000,16.587098101159064,0.02,1058
11700000,16.91497946004383,0.0,1060
11800000,16.32330901755602,0.02,1059
11900000,16.665990818412975,0.02,1060
12000000,16.27585879981518,0.02,1060
12100000,15.960234034769236,0.0,1061
12200000,15.639110318003222,0.02,1061
12300000,16.296932547697796,0.04,1062
12400000,15.355103466425007,0.04,1061
12500000,15.371011415692045,0.0,1063
12600000,15.2572530268837,0.02,1062
12700000,15.133341661870945,0.0,1063
12800000,16.26357385878917,0.0,1063
12900000,15.151703076919658,0.02,1064
13000000,15.345968323689158,0.0,1064
13100000,15.512437154774089,0.04,1065
13200000,15.142046412036871,0.06,1064
13300000,15.214950315819879,0.0,1065
13400000,14.7598105366253,0.0,1065
13500000,15.667578781680932,0.04,1066
13600000,14.631437410886866,0.02,1065
13700000,15.82676203749841,0.02,1065
13800000,15.410975619261153,0.02,1066
13900000,14.50151470954097,0.0,1066
14000000,15.646951388819144,0.0,1067
14100000,14.248581208187098,0.0,1066
14200000,15.556312199891545,0.0,1067
14300000,14.633994210606907,0.02,1067
14400000,15.01631343639223,0.0,1068
14500000,15.706363188314718,0.04,1067
14600000,15.361465942123905,0.04,1068
14700000,13.675848977642746,0.0,1068
14800000,15.223462665230036,0.0,1069
14900000,15.680457312986254,0.02,1068
15000000,15.048475909275004,0.02,1069
15100000,14.688749959230336,0.0,1069
15200000,14.988990711718943,0.04,1070
15300000,13.736847689742717,0.02,1069
15400000,14.425619445606134,0.0,1070
15500000,13.669739240809722,0.04,1070
15600000,14.911501370584592,0.04,1069
15700000,13.799681667992845,0.02,1070
15800000,14.630081737963483,0.0,1070
15900000,14.632380531248636,0.04,1071
16000000,14.734536369587294,0.04,1070
16100000,13.95290555908752,0.06,1071
16200000,14.92959927819029,0.02,1071
16300000,14.890665768242906,0.06,1071
16400000,13.53340900403884,0.04,1071
16500000,14.10824293790065,0.06,1072
16600000,13.77308114927855,0.06,1071
16700000,14.349148454193783,0.12,1072
16800000,13.836657307822753,0.06,1072
16900000,13.409349088414746,0.04,1072
17000000,14.835337558247847,0.1,1072
17100000,13.714940832979046,0.1,1073
17200000,13.853796558446628,0.14,1072
17300000,12.9948894453104,0.04,1073
17400000,13.868881105647889,0.06,1072
17500000,12.789906353222978,0.08,1072
17600000,14.617482501990743,0.18,1072
17700000,13.925744338268414,0.08,1072
17800000,13.09169667621807,0.06,1073
17900000,12.907401171260135,0.04,1072
18000000,14.276979290598538,0.02,1073
18100000,14.799417964527384,0.12,1073
18200000,14.454666760677938,0.04,1073
18300000,13.91284932014998,0.02,1073
18400000,14.404771340536609,0.04,1074
18500000,14.413148472994909,0.06,1073
18600000,14.220446977908724,0.04,1074
18700000,14.340863356038435,0.04,1074
18800000,14.146935906154104,0.04,1074
18900000,14.192138417433016,0.02,1074
19000000,14.507136478074827,0.04,1075
19100000,14.397650142456405,0.02,1074
19200000,14.396420597378164,0.0,1075
19300000,13.85262671448501,0.04,1074
19400000,13.884856176662725,0.04,1074
19500000,14.392448188742856,0.0,1075
19600000,14.142267475773115,0.02,1074
19700000,13.957807204123055,0.0,1075
19800000,13.746345613562735,0.0,1075
19900000,14.571935856387135,0.0,1076
20000000,14.140610947672686,0.0,1075
